## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,
entity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.url,entity.inventory,entity.margin,entity.warehousecode,entity.endesc,entity.esdesc,entity.productType,entity.parentId,entity.visibility,entity.pack,entity.stockStatus,entity.stockQuantity,entity.netContent,entity.material,entity.brand,entity.flavor
232,Refresco Coca-Cola Light 235 ml,"58, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccollig-ligh-nor-alu-235ml.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-235-ml.html,,,,,Coca-Cola Light 235 ml,configurable,,"Catalog, Search",,,,235 ml,Aluminio,Coca-Cola Light,Light
234,Refresco Coca-Cola Light 1.5 L,"978, 981, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/s/c/screenshot_157__1_2.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-1-5-l-pet.html,,,,,Coca-Cola Light 1.5 L,configurable,,"Catalog, Search",,,,1.5 L,PET,Coca-Cola Light,Light
236,Refresco Coca-Cola Light 1 L,1161,,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-light-pnr-1l.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-1-l-pet.html,,,,,Coca-Cola Light 1 L,configurable,,"Catalog, Search",,,,1 L,PET,Coca-Cola Light,Light
237,Refresco Coca-Cola Light 1 L 12 Botellas,1161,,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-light-pnr-1l_1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-1-l-pet.html,,,"[""c103"", ""c104"", ""c105"", ""c107"", ""c108"", ""c109"", ""c110"", ""c111"", ""c112"", ""c113"", ""c114"", ""c115"", ""c116"", ""c117"", ""c118"", ""c122"", ""c127"", ""c128"", ""c131"", ""c135"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c43"", ""c44"", ""c46"", ""c47"", ""c50"", ""c93"", ""c94"", ""c95"", ""c96"", ""c98"", ""c99""]",,Coca-Cola Light 1L 12 Botellas,simple,236,Not Visible Individually,12 Botellas,In stock,9999999,1 L,PET,Coca-Cola Light,Light
238,Refresco Coca-Cola Light 2.5 L,"58, 978, 981, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccollig-ligh-nor-pet-2.5l-1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-2-5-l-pet.html,,,,,Coca-Cola Light 2.5 L,configurable,,"Catalog, Search",,,,2.5 L,PET,Coca-Cola Light,Light
239,Refresco Coca-Cola Light 2.5 L 8 Botellas,"978, 981, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccollig-ligh-nor-pet-2.5l-8pz-1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-2-5-l-pet.html,,,"[""c01"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c40"", ""c41"", ""c46"", ""c48"", ""c49""]",,Coca-Cola Light 2.5 L 8 Botellas,simple,238,Not Visible Individually,8 Botellas,In stock,99997,2.5 L,PET,Coca-Cola Light,Light
241,Refresco Coca-Cola Light 2 L 8 Botellas,"58, 978, 981, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccollig-ligh-nor-pet-2l-8pz-1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-2-l.html,,,"[""c01"", ""c02"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c43"", ""c44"", ""c46"", ""c47"", ""c48"", ""c49"", ""c50""]",,Coca-Cola Light 2 L 8 Botellas,simple,8444,Not Visible Individually,8 Botellas,In stock,99999,2 L,PET,Coca-Cola Light,Light
242,Refresco Coca-Cola Light 600 ml,"58, 126, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-light-pnr-600ml.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-600-ml-pet.html,,,"[""c46""]",,Coca-Cola Light 600 ml ,configurable,,"Catalog, Search",,,9999,600 ml,PET,Coca-Cola Light,Light
244,Refresco Coca-Cola Light 235 ml,1161,,https://www.coca-colaentuhogar.com/media/catalog/product/2/2/225_coca-cola-light-235-ml-botella-vidrio-6p_6.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-235-ml-vidrio.html,,,,,Refresco Coca-Cola Light 235 ml short description,configurable,,"Catalog, Search",,,,235 ml,Vidrio,Coca-Cola Light,Light
245,Refresco Coca-Cola Light 235 ml 12 Botellas,1161,,https://www.coca-colaentuhogar.com/media/catalog/product/2/2/225_coca-cola-light-235-ml-botella-vidrio-6p_6.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-235-ml-vidrio.html,,,"[""c01"", ""c34"", ""c48"", ""c49""]",,Coca-Cola Light 235 ml 12 Botellas,simple,244,Not Visible Individually,12 Botellas,In stock,99999,235 ml,Vidrio,Coca-Cola Light,Light
246,Refresco Coca-Cola Light 355 ml Retornable,"58, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-light-vidrio-355ml.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-355-ml-retornable-vidrio.html,,,,,Coca-Cola Light 355 ml Retornable,configurable,,"Catalog, Search",,,,355 ml,Vidrio,Coca-Cola Light,Light
247,Refresco Coca-Cola Light 355 ml Retornable 24 Botellas,"58, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-light-vidrio-355ml_1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-355-ml-retornable-vidrio.html,,,"[""c01"", ""c02"", ""c105"", ""c106"", ""c107"", ""c109"", ""c112"", ""c114"", ""c128"", ""c135"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c44"", ""c46"", ""c47"", ""c48"", ""c49"", ""c50"", ""c93"", ""c94"", ""c98"", ""c99""]",,Coca-Cola Light 355 ml Retornable 24 Botellas,simple,246,Not Visible Individually,24 Botellas,In stock,99995,355 ml,Vidrio,Coca-Cola Light,Light
250,Refresco Coca-Cola Light sin Cafeina 600 ml,"58, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/2/3/232_coca-cola-light-sin-cafeina-600-ml-botella-pet-12p_2.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-sin-cafeina-600-ml-pet.html,,,,,Coca-Cola Light sin Cafeina 600 ml,configurable,,"Catalog, Search",,,,600 ml,PET,Coca-Cola Light,Light sin Cafeina
251,Refresco Coca-Cola Light sin Cafeina 600 ml 12 Botellas,"58, 1161",,https://www.coca-colaentuhogar.com/media/catalog/product/2/3/232_coca-cola-light-sin-cafeina-600-ml-botella-pet-12p_2.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-light-sin-cafeina-600-ml-pet.html,,,"[""c01"", ""c48""]",,Coca-Cola Light sin Cafeina 600 ml 12 Botellas,simple,250,Not Visible Individually,12 Botellas,In stock,99999,600 ml,PET,Coca-Cola Light,Light sin Cafeina
252,Refresco Coca-Cola 235 ml,"58, 59",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-lata-235ml_2.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-235-ml.html,,,,,Coca-Cola Original 235 ml ,configurable,,"Catalog, Search",,,,235 ml,Aluminio,Coca-Cola,Original
254,Refresco Coca-Cola 355 ml,"58, 59",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-lata-355ml.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-355-ml.html,,,"[""c04""]",,Coca-Cola Original 355 ml,configurable,,"Catalog, Search",,In stock,9999999,355 ml,Aluminio,Coca-Cola,Original
255,Refresco Coca-Cola 355 ml 24 Latas,"58, 59",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-lata-355ml.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-355-ml.html,,,"[""c01"", ""c02"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c44"", ""c46"", ""c47"", ""c48"", ""c49"", ""c50""]",,Coca-Cola Original 355 ml 24 Latas,simple,254,Not Visible Individually,24 Latas,In stock,99999,355 ml,Aluminio,Coca-Cola,Original
256,Refresco Coca-Cola 1.25 L,"58, 59, 125, 126",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-pnr-1.25l.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-1-25-l-pet.html,,,,,Coca-Cola Original 1.25 L,configurable,,"Catalog, Search",,,,1.25 L,PET,Coca-Cola,Original
257,Refresco Coca-Cola 1.25 L 12 Botellas,"58, 59",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-pnr-1.25l.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-1-25-l-pet.html,,,"[""c02"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c35"", ""c36"", ""c40"", ""c41"", ""c46"", ""c48"", ""c50""]",,Coca-Cola Original 1.25 L 12 Botellas,simple,256,Not Visible Individually,12 Botellas,In stock,99999,1.25 L,PET,Coca-Cola,Original
258,Refresco Coca-Cola 1.75 L,"58, 59, 125, 126",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-pnr-1.75l.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-1-75-l-pet.html,,,,,Coca-Cola Original 1.75 L,configurable,,"Catalog, Search",,,,1.75 L,PET,Coca-Cola,Original
259,Refresco Coca-Cola 1.75 L 8 Botellas,"58, 59, 125, 126",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-pnr-1.75l.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-1-75-l-pet.html,,,"[""c01"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c40"", ""c41"", ""c46"", ""c48"", ""c49"", ""c50""]",,Coca-Cola Original 1.75 L 8 Botellas,simple,258,Not Visible Individually,8 Botellas,In stock,99997,1.75 L,PET,Coca-Cola,Original
261,Refresco Coca-Cola 2.5 L 8 Botellas,"58, 59, 85, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccol-orig-nor-pet-2.5l-8pz-1_1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-original-2-5-l.html,,,"[""c01"", ""c02"", ""c104"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c44"", ""c46"", ""c47"", ""c48"", ""c49"", ""c50""]",,Coca-Cola Original 2.5 L 8 Botellas,simple,8438,Not Visible Individually,8 Botellas,In stock,99995,2.5 L,PET,Coca-Cola,Original
262,Refresco Coca-Cola 2 L,"58, 59, 85, 126, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccol-orig-nor-pet-2l-1_1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-2-l-pet.html,,,,,Coca-Cola Original 2 L,configurable,,"Catalog, Search",,,,2 L,PET,Coca-Cola,Original
263,Refresco Coca-Cola 2 L 8 Botellas,"58, 59, 85, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccol-orig-nor-pet-2l-8pz-1_1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-2-l-pet.html,,,"[""c100"", ""c102"", ""c105"", ""c106"", ""c107"", ""c108"", ""c109"", ""c110"", ""c111"", ""c112"", ""c113"", ""c115"", ""c118"", ""c121"", ""c122"", ""c123"", ""c127"", ""c128"", ""c129"", ""c130"", ""c132"", ""c133"", ""c135"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c43"", ""c44"", ""c46"", ""c47"", ""c50"", ""c91"", ""c92"", ""c93"", ""c94"", ""c95"", ""c97"", ""c98"", ""c99""]",,Coca-Cola Original 2 L 8 Botellas,simple,262,Not Visible Individually,8 Botellas,In stock,9999964,2 L,PET,Coca-Cola,Original
264,Refresco Coca-Cola 355 ml,"58, 59, 85, 121, 129, 251, 266, 320",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-pnr-355ml.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-pet-355-ml.html,,,"[""c94"", ""c97""]",,Refresco Coca-Cola 355 ml,configurable,,"Catalog, Search",,In stock,9999999,355 ml,PET,Coca-Cola,Original
265,Refresco Coca-Cola 355 ml 12 Botellas,"58, 59, 85, 121, 129, 266, 320",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola-original-pnr-355ml.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-pet-355-ml.html,,,"[""ANTIGUA_FEMSA_GT"", ""c100"", ""c101"", ""c102"", ""c103"", ""c104"", ""c105"", ""c106"", ""c107"", ""c108"", ""c109"", ""c110"", ""c111"", ""c112"", ""c113"", ""c114"", ""c115"", ""c116"", ""c117"", ""c118"", ""c119"", ""c120"", ""c121"", ""c122"", ""c123"", ""c124"", ""c125"", ""c126"", ""c127"", ""c128"", ""c129"", ""c130"", ""c131"", ""c132"", ""c133"", ""c134"", ""c135"", ""c91"", ""c92"", ""c93"", ""c94"", ""c95"", ""c96"", ""c97"", ""c98"", ""c99"", ""FEMSA_XELA_GT"", ""guatemala"", ""panama""]",,Coca-Cola Original 355 ml 12 Botellas,simple,264,Not Visible Individually,12 Botellas,In stock,9999,355 ml,PET,Coca-Cola,Original
266,Refresco Coca-Cola 3 L,"58, 59, 251, 266, 320, 607, 637, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccol-orig-nor-pet-3l-1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-3-l-pet.html,,,,,Coca-Cola Original 3 L,configurable,,"Catalog, Search",,,,3 L,PET,Coca-Cola,Original
267,Refresco Coca-Cola 3 L 6 Botellas,"59, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccol-orig-nor-pet-3l-6pz-1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-3-l-pet.html,,,"[""c01"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c42"", ""c43"", ""c46"", ""c47"", ""c48"", ""c50"", ""c60"", ""c61"", ""panama""]",,Coca-Cola Original 3 L 6 Botellas,simple,266,Not Visible Individually,6 Botellas,In stock,99998,3 L,PET,Coca-Cola,Original
268,Refresco Coca-Cola Original 600 ml,"58, 59, 85, 251, 266, 320, 607, 637",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccol-orig-nor-pet-600ml-1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-original-600-ml.html,,,"[""c46""]",,Coca-Cola Original 600 ml,configurable,,"Catalog, Search",,,0,600 ml,PET,Coca-Cola,Original
269,Refresco Coca-Cola 600 ml 12 Botellas,"58, 59, 251, 320",,https://www.coca-colaentuhogar.com/media/catalog/product/c/c/ccoma_600ml_pnr_1000x1000_2_5_1.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-original-600-ml.html,,,"[""ANTIGUA_FEMSA_GT"", ""c01"", ""c02"", ""c100"", ""c105"", ""c106"", ""c107"", ""c108"", ""c109"", ""c110"", ""c111"", ""c112"", ""c113"", ""c114"", ""c118"", ""c120"", ""c122"", ""c123"", ""c126"", ""c128"", ""c129"", ""c135"", ""c34"", ""c41"", ""c48"", ""c49"", ""c93"", ""c94"", ""c95"", ""c98"", ""c99"", ""FEMSA_XELA_GT"", ""guatemala"", ""panama""]",,Coca-Cola Original 600 ml 12 Botellas,simple,268,Not Visible Individually,12 Botellas,In stock,9999,600 ml,PET,Coca-Cola,Original
270,Refresco Coca-Cola 235 ml,"59, 125, 126",,https://www.coca-colaentuhogar.com/media/catalog/product/7/5/7501055355587_0.jpg,,https://www.coca-colaentuhogar.com/coca-cola-original-235ml-24-pz.html,,,"[""c94""]",,Refresco Coca-Cola 235 ml short description,configurable,,"Catalog, Search",,In stock,9999999,235 ml,Vidrio,Coca-Cola,Original
271,Refresco Coca-Cola 235 ml 12 Botellas,59,,https://www.coca-colaentuhogar.com/media/catalog/product/7/5/7501055355587_0_2.jpg,,https://www.coca-colaentuhogar.com/coca-cola-original-235ml-24-pz.html,,,"[""c01"", ""c02"", ""c34"", ""c39"", ""c48""]",,Coca-Cola Original 235 ml 12 Botellas,simple,270,Not Visible Individually,12 Botellas,In stock,99999,235 ml,Vidrio,Coca-Cola,Original
272,Refresco Coca-Cola 1.5 L Retornable,59,,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/converted_1__1_3.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-1-5-l-retornable-pet.html,,,"[""c80""]",,Coca-Cola Original 1.5 L Retornable,configurable,,"Catalog, Search",,In stock,999999,1.5 L,PET,Coca-Cola,Original
273,Refresco Coca-Cola 1.5 L Retornable 12 Botellas,59,,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/converted_1__1_3.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-1-5-l-retornable-pet.html,,,"[""c01"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c44"", ""c46"", ""c48"", ""c50""]",,Coca-Cola Original 1.5 L Retornable 12 Botellas,simple,272,Not Visible Individually,12 Botellas,In stock,99999,1.5 L,PET,Coca-Cola,Original
274,Refresco Coca-Cola 2.5 L Retornable,"58, 59, 85",,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coccol-orig-ret-pet-2.5l-8pz__1.png,,https://www.coca-colaentuhogar.com/refresco-coca-cola-2-5-l-retornable.html,,,,,Coca-Cola Original 2.5 L Retornable,configurable,,"Catalog, Search",,,,2.5 L,PET,Coca-Cola,Original
